1:  -2.89121612335 0.145906280783
2:  -2.89121612335 0.13525513262
4:  -2.89121612335 0.122538248564
5:  -2.89121612335 0.118001772853
8:  -2.89121612335 0.104584373618
10:  -2.89121612335 0.100597184901
16:  -2.89121612335 0.0811490458998
20:  -2.89121612335 0.0799656694506
25:  -2.89121612335 0.067064196078
32:  -2.89121612335 0.0510766662877
40:  -2.89121612335 0.0478220587233
50:  -2.89121612335 0.0391835140315
80:  -2.89121612335 0.0266485500067
100:  -2.89121612335 0.0208922059869
125:  -2.89121612335 0.0175136765669
160:  -2.89121612335 0.0143115548219
200:  -2.89121612335 0.0108801214652
250:  -2.89121612335 0.00911430205067
400:  -2.89121612335 0.00548704029642
500:  -2.89121612335 0.00449076703635
625:  -2.89121612335 0.00363319897413
800:  -2.89121612335 0.00314918929535
1000:  -2.89121612335 0.00241936185937
1250:  -2.89121612335 0.00160383902128
2000:  -2.89121612335 0.00112135218764
2500:  -2.89121612335 0.00091891519609
3125:  -2.89121612335 0.000792589603082
4000:  -2.89121612335 0.000586881332655
5000:  -2.89121612335 0.000418101273306
6250:  -2.89121612335 0.000391422397447
10000:  -2.89121612335 0.000179232658399
12500:  -2.89121612335 0.00016557580852
20000:  -2.89121612335 0.000102057308568
25000:  -2.89121612335 9.66225174133e-05
50000:  -2.89121612335 1.17855266031e-05
100000:  -2.89121612335 2.63578033662e-06
