1:  0.500378471636 0.083295277632
2:  0.500378471637 0.0416851963546
4:  0.500378471637 0.0208048836498
5:  0.500378471636 0.0166768764344
8:  0.500378471637 0.0104399976601
10:  0.500378471637 0.00838554412988
16:  0.500378471636 0.00525382936645
20:  0.500378471637 0.00421829214882
25:  0.500378471636 0.00335521890142
32:  0.500378471637 0.00263712829542
40:  0.500378471636 0.00210808586079
50:  0.500378471636 0.00167619282761
80:  0.500378471637 0.00104346691461
100:  0.500378471637 0.00085242546745
125:  0.500378471636 0.000669573204433
160:  0.500378471636 0.000525972020396
200:  0.500378471637 0.000427920097428
250:  0.500378471637 0.000333533807144
400:  0.500378471637 0.000211201482025
500:  0.500378471636 0.000166278172715
625:  0.500378471637 0.000133870358533
800:  0.500378471637 0.000105001957087
1000:  0.500378471637 8.2952796733e-05
1250:  0.500378471637 6.86599826985e-05
2000:  0.500378471637 4.40305090475e-05
2500:  0.500378471637 3.53313882903e-05
3125:  0.500378471637 2.63372781368e-05
4000:  0.500378471637 2.32792944968e-05
5000:  0.500378471637 1.99141159858e-05
6250:  0.500378471637 1.47194495729e-05
10000:  0.500378471637 9.83532708938e-06
12500:  0.500378471636 8.47724817018e-06
20000:  0.500378471637 6.42653772507e-06
25000:  0.500378471637 3.7354229239e-06
50000:  0.500378471637 1.22884421866e-06
100000:  0.500378471636 5.38369196769e-07
